code,observed_at,start_at,status,chance_this,chance_next,news
55459,1676634450,1676161809,d,100.0,75.0,Illness - 75% chance of playing
55459,1677262181,1677262181,a,100.0,100.0,
55494,1657988027,1657988027,a,,,
55494,1676634450,1676075409,i,0.0,0.0,Calf injury - Expected back 25 Feb
55494,1677262181,1677262181,d,0.0,75.0,Lack of match fitness - 75% chance of playing
55494,1677760822,1677760822,a,75.0,100.0,
55914,1657988027,1657988027,a,,,
55914,1659947328,1659625205,i,0.0,0.0,Lack of match fitness - Expected back 21 Aug
55914,1660639221,1660435206,d,100.0,75.0,Knock - 75% chance of playing
55914,1661250559,1661250559,d,50.0,50.0,Knock - 50% chance of playing
55914,1661766052,1661630407,d,100.0,75.0,Calf injury - 75% chance of playing
55914,1662109894,1662109894,d,75.0,75.0,Lack of match fitness - 75% chance of playing
55914,1662536127,1662536127,a,75.0,100.0,
55914,1672318255,1671724808,d,75.0,75.0,Calf injury - 75% chance of playing
55914,1672638138,1672638138,a,100.0,100.0,
55914,1674195851,1674084608,d,100.0,75.0,Knock - 75% chance of playing
55914,1674555185,1674555185,d,75.0,75.0,Muscle injury - 75% chance of playing
55914,1675962528,1675897209,d,100.0,75.0,Knock - 75% chance of playing
55914,1676634450,1676634450,d,50.0,50.0,Muscle injury - 50% chance of playing
55914,1677262181,1677262181,a,50.0,100.0,
55914,1679046737,1678757409,d,100.0,50.0,Muscle injury - 50% chance of playing
55914,1679914802,1679914802,a,100.0,100.0,
55914,1683287633,1682886607,i,100.0,0.0,Glute injury - Expected back 21 May
55914,1685259116,1685259116,a,75.0,100.0,
56872,1657988027,1657988027,a,,,
56872,1661250559,1661245206,d,,75.0,Groin Injury - 75% chance of playing
56872,1661766052,1661766052,i,0.0,0.0,Groin Injury - Unknown return date
56872,1663194349,1662654606,d,25.0,50.0,Lack of match fitness - 50% chance of playing
56872,1663775227,1663775227,a,75.0,100.0,
56872,1665555681,1665063007,d,25.0,25.0,Muscle injury - 25% chance of playing
56872,1665995118,1665995118,a,50.0,100.0,
56872,1672638138,1672410607,d,50.0,50.0,Knock - 50% chance of playing
56872,1674555185,1674555185,d,0.0,50.0,Muscle injury - 50% chance of playing
56872,1675962528,1675962528,i,0.0,0.0,Muscle injury - Unknown return date
56872,1676634450,1676634450,d,50.0,50.0,Muscle injury - 50% chance of playing
56872,1677262181,1677262181,a,100.0,100.0,
56872,1677760822,1677717009,d,100.0,75.0,Knock - 75% chance of playing
56872,1678185619,1678185619,i,0.0,0.0,Knock - Expected back 18 Mar
56872,1679046737,1679046737,d,25.0,50.0,Knock - 50% chance of playing
56872,1680813728,1680813728,i,0.0,0.0,Knock - Unknown return date
56872,1683613947,1683613947,i,0.0,0.0,Back injury - Expected back 01 Jul
56917,1657988027,1657988027,a,,,
56917,1660639221,1660639221,a,0.0,100.0,
56979,1657988027,1657988027,a,,,
56979,1662109894,1661985007,d,,50.0,Hamstring injury - 50% chance of playing
56979,1662536127,1662536127,i,0.0,0.0,Hamstring injury - Expected back 01 Oct
56979,1663775227,1663775227,a,0.0,100.0,
56983,1657988027,1657988027,a,,,
56983,1665995118,1665747007,i,0.0,0.0,Calf injury - Expected back 26 Dec
56983,1669176618,1669176618,d,0.0,75.0,Calf injury - 75% chance of playing
56983,1672318255,1672318255,a,100.0,100.0,
56983,1685259116,1683883809,i,0.0,0.0,Knee injury - Expected back 01 Jul
57134,1657988027,1657035004,s,,0.0,Suspended until 13 Aug
57134,1659947328,1659947328,a,0.0,100.0,
57134,1672318255,1672050944,u,0.0,0.0,Contract ended
57145,1657988027,1657988027,a,,,
57145,1659947328,1659699006,d,25.0,25.0,Calf injury - 25% chance of playing
57145,1661250559,1661250559,d,25.0,75.0,Lack of match fitness - 75% chance of playing
57145,1661766052,1661766052,a,100.0,100.0,
